,0
"frozenset({'ZN', 'DIS', 'CHAS'})",0.006165564738292015
"frozenset({'DIS', 'ZN', 'NOX'})",0.013045785123966945
"frozenset({'RAD', 'DIS', 'ZN'})",0.014185674931129476
"frozenset({'ZN', 'DIS'})",0.009573884297520664
"frozenset({'B', 'LSTAT', 'ZN'})",0.03355730027548208
"frozenset({'B', 'CRIM', 'ZN'})",0.010091735537190085
"frozenset({'TAX', 'ZN', 'B'})",0.004718787878787883
"frozenset({'B', 'INDUS', 'ZN'})",0.003065013774104687
"frozenset({'B', 'AGE', 'ZN'})",0.009533774104683203
"frozenset({'B', 'CHAS', 'ZN'})",0.002322534435261711
"frozenset({'B', 'NOX', 'ZN'})",0.01758909090909092
"frozenset({'RAD', 'ZN', 'B'})",0.0026315151515151525
"frozenset({'B', 'ZN'})",0.006734049586776854
"frozenset({'ZN', 'LSTAT', 'CRIM'})",0.03434964187327824
"frozenset({'TAX', 'LSTAT', 'ZN'})",0.02232694214876031
"frozenset({'ZN', 'INDUS', 'LSTAT'})",0.01234892561983471
"frozenset({'ZN', 'AGE', 'LSTAT'})",0.01163928374655648
"frozenset({'ZN', 'CHAS', 'LSTAT'})",0.06194347107438015
"frozenset({'ZN', 'NOX', 'LSTAT'})",0.023200275482093663
"frozenset({'RAD', 'LSTAT', 'ZN'})",0.03047520661157023
"frozenset({'ZN', 'LSTAT'})",0.11721834710743799
"frozenset({'TAX', 'CRIM', 'ZN'})",0.0061759779614325135
"frozenset({'ZN', 'INDUS', 'CRIM'})",0.008565619834710738
"frozenset({'ZN', 'AGE', 'CRIM'})",0.006980000000000005
"frozenset({'ZN', 'CHAS', 'CRIM'})",0.00611019283746556
"frozenset({'ZN', 'NOX', 'CRIM'})",0.014132066115702488
"frozenset({'RAD', 'CRIM', 'ZN'})",0.004448209366391183
"frozenset({'ZN', 'CRIM'})",0.011753057851239673
"frozenset({'TAX', 'INDUS', 'ZN'})",0.0038958677685950473
"frozenset({'TAX', 'AGE', 'ZN'})",0.0034915702479338894
"frozenset({'TAX', 'CHAS', 'ZN'})",0.002980110192837464
"frozenset({'TAX', 'NOX', 'ZN'})",0.01085889807162535
"frozenset({'RAD', 'TAX', 'ZN'})",0.0012674380165289272
"frozenset({'TAX', 'ZN'})",0.005765013774104686
"frozenset({'ZN', 'INDUS', 'AGE'})",0.003861377410468323
"frozenset({'ZN', 'INDUS', 'CHAS'})",0.0022678787878787875
"frozenset({'ZN', 'NOX', 'INDUS'})",0.012454545454545468
"frozenset({'RAD', 'INDUS', 'ZN'})",0.0015103581267217653
"frozenset({'ZN', 'INDUS'})",0.00422528925619834
"frozenset({'ZN', 'CHAS', 'AGE'})",0.005933278236914607
"frozenset({'ZN', 'NOX', 'AGE'})",0.0
"frozenset({'RAD', 'AGE', 'ZN'})",0.008962865013774118
"frozenset({'ZN', 'AGE'})",0.01107542699724518
"frozenset({'ZN', 'NOX', 'CHAS'})",0.008614049586776864
"frozenset({'RAD', 'CHAS', 'ZN'})",0.0
"frozenset({'ZN', 'CHAS'})",0.0006746005509641867
"frozenset({'RAD', 'NOX', 'ZN'})",0.0
"frozenset({'ZN', 'NOX'})",0.007439393939393942
"frozenset({'RAD', 'ZN'})",0.001363691460055101
frozenset({'ZN'}),0.003038457300275465
"frozenset({'B', 'DIS', 'PTRATIO'})",0.007912396694214868
"frozenset({'DIS', 'PTRATIO', 'LSTAT'})",0.021431735537190078
"frozenset({'DIS', 'PTRATIO', 'CRIM'})",0.012771019283746549
"frozenset({'TAX', 'DIS', 'PTRATIO'})",0.005019008264462812
"frozenset({'DIS', 'INDUS', 'PTRATIO'})",0.004063030303030299
"frozenset({'DIS', 'PTRATIO', 'AGE'})",0.011754159779614314
"frozenset({'DIS', 'PTRATIO', 'CHAS'})",0.0065163085399449015
"frozenset({'DIS', 'NOX', 'PTRATIO'})",0.018111625344352615
"frozenset({'RAD', 'DIS', 'PTRATIO'})",0.0037938292011019245
"frozenset({'DIS', 'PTRATIO'})",0.015976694214876037
"frozenset({'B', 'PTRATIO', 'LSTAT'})",0.013078732782369143
"frozenset({'B', 'PTRATIO', 'CRIM'})",0.006046831955922868
"frozenset({'TAX', 'PTRATIO', 'B'})",0.008878622589531676
"frozenset({'B', 'INDUS', 'PTRATIO'})",0.0021757024793388406
"frozenset({'B', 'PTRATIO', 'AGE'})",0.003736198347107436
"frozenset({'B', 'PTRATIO', 'CHAS'})",0.005519889807162529
"frozenset({'B', 'NOX', 'PTRATIO'})",0.011299614325068867
"frozenset({'RAD', 'PTRATIO', 'B'})",0.005919338842975205
"frozenset({'B', 'PTRATIO'})",0.007591955922865007
"frozenset({'PTRATIO', 'LSTAT', 'CRIM'})",0.045730468319559237
"frozenset({'TAX', 'PTRATIO', 'LSTAT'})",0.021708044077134978
"frozenset({'LSTAT', 'INDUS', 'PTRATIO'})",0.0
"frozenset({'LSTAT', 'PTRATIO', 'AGE'})",0.05994539944903581
"frozenset({'PTRATIO', 'CHAS', 'LSTAT'})",0.04242595041322312
"frozenset({'NOX', 'PTRATIO', 'LSTAT'})",0.013993939393939392
"frozenset({'RAD', 'PTRATIO', 'LSTAT'})",0.03320303030303029
"frozenset({'PTRATIO', 'LSTAT'})",0.052164628099173535
"frozenset({'TAX', 'PTRATIO', 'CRIM'})",0.011967878787878786
"frozenset({'INDUS', 'PTRATIO', 'CRIM'})",0.00880964187327823
