,frozenset({'RM'}),frozenset({'LSTAT'}),frozenset({'NOX'}),"frozenset({'RM', 'AGE'})","frozenset({'NOX', 'LSTAT'})","frozenset({'RM', 'CHAS', 'LSTAT'})","frozenset({'ZN', 'LSTAT'})","frozenset({'INDUS', 'RM'})","frozenset({'RM', 'LSTAT'})","frozenset({'RAD', 'LSTAT'})"
318,-0.013953333333333144,0.09777333333333338,0.01072666666666656,0.015220000000000167,0.02177999999999994,-0.07207999999999987,0.08180666666666672,-0.0070400000000000185,-0.08297999999999991,0.06800000000000006
331,-0.4807666666666673,-0.11333333333333379,0.02718666666666697,-0.12429333333333335,0.08313333333333331,-0.008579999999999987,-0.03462000000000013,-0.1211733333333334,-0.03943333333333336,-0.008573333333333306
334,-0.5826133333333324,0.3142133333333344,-0.015773333333332994,-0.07478666666666647,0.11627333333333345,0.0016999999999999342,0.07462000000000012,0.008893333333333408,0.025120000000000146,0.08750000000000029
335,-0.35480666666666694,0.08624666666666653,-0.015106666666666536,-0.09879333333333337,0.12648666666666672,0.08433333333333327,0.11735333333333334,-0.018100000000000054,-0.040766666666666784,-0.005960000000000024
344,0.5412733333333329,0.37769999999999965,0.258133333333334,0.10578000000000008,0.09875999999999996,0.15328000000000003,0.1297266666666665,0.1060533333333332,0.14219333333333325,0.1061999999999999
349,0.9876133333333345,0.2729533333333334,0.3265266666666677,0.2656533333333337,0.12041999999999997,0.15974666666666684,0.07719333333333325,0.27140000000000036,0.20677333333333342,0.041013333333333284
359,-0.185366666666666,0.19633333333333372,-0.006279999999999871,-0.01745333333333324,0.0975933333333333,-0.03805333333333331,0.08014000000000006,-0.12667333333333322,-0.11079333333333322,-0.023559999999999786
361,-0.2267066666666664,0.11704666666666673,-0.00190666666666696,-0.023406666666666645,0.07144666666666666,0.08469333333333331,0.09349999999999993,0.0015799999999999948,0.0005000000000001018,0.012613333333333289
364,2.4453266666666664,0.3844399999999998,-0.061126666666666836,0.6415266666666666,0.09878000000000009,0.4878333333333331,0.11467999999999999,0.6349533333333333,0.4326066666666666,0.06224666666666663
368,-0.3299933333333328,1.14922,0.057400000000000444,-0.08950000000000002,0.38296666666666657,0.02271333333333323,0.1934733333333332,-0.10189999999999996,0.08931999999999997,0.5168399999999999
372,-0.1415733333333332,0.5421466666666668,0.009766666666666701,-0.12332666666666649,0.16637333333333332,0.06607333333333328,0.5994666666666668,-0.0029799999999998526,0.02838666666666678,0.3261400000000002
376,-0.3651533333333331,-1.4900000000000007,-0.3950333333333332,-0.08009333333333331,-0.4502533333333334,-0.06368000000000001,-0.35052,0.027686666666666627,-0.24608000000000013,-0.4571933333333335
377,-0.3479133333333333,-1.3970466666666672,-0.4240000000000007,-0.1724200000000001,-0.25419333333333344,-0.1283866666666666,-0.3440466666666668,0.03174666666666668,-0.18924000000000002,-0.2946800000000001
380,1.3013799999999995,-0.19217999999999985,-0.5527933333333328,0.17393999999999993,-0.07435333333333327,0.19708666666666677,-0.08528666666666665,0.30133999999999994,-0.15126666666666663,-0.05181333333333337
382,-0.4473666666666664,-0.5963466666666666,-0.44033999999999934,-0.18330666666666662,-0.2322,-0.08481333333333327,-0.20830666666666664,-0.12564666666666666,-0.20439333333333332,-0.15011999999999992
384,-0.5907733333333329,-1.1819266666666663,-0.6898333333333336,-0.10655333333333329,-0.2824666666666667,-0.1412066666666667,-0.25805333333333325,-0.10365333333333325,-0.21007333333333333,-0.3669733333333333
385,-0.45834666666666685,-1.2447000000000004,-0.6600666666666662,-0.061326666666666585,-0.30718000000000023,-0.08493333333333328,-0.3119266666666668,-0.17039999999999994,-0.2808266666666667,-0.27714
386,-0.25344666666666654,-1.1641466666666667,-0.8853866666666664,-0.0586066666666666,-0.2757,-0.2543066666666666,-0.3042133333333334,-0.056240000000000026,-0.10741333333333332,-0.36084666666666665
393,-0.24087333333333305,-0.36890666666666644,-0.11584666666666657,-0.08455333333333334,-0.05504000000000001,-0.017006666666666656,-0.08001999999999991,-0.01573333333333326,-0.03581333333333337,-0.053526666666666715
395,-0.2592733333333332,-0.35936000000000007,-0.13569333333333344,-0.06108666666666664,-0.14407999999999993,0.006786666666666689,-0.24071999999999993,-0.01835999999999995,-0.13731999999999997,-0.10941999999999988
401,-0.1417466666666668,-1.0048066666666666,-0.5759866666666668,-0.11006666666666667,-0.23191333333333328,-0.1584,-0.29026,0.004286666666666695,-0.06490666666666672,-0.20449333333333325
403,-0.45624666666666663,-0.7491866666666666,-0.694166666666666,-0.1317533333333333,-0.2008066666666666,-0.07108666666666665,-0.19380000000000008,-0.22344000000000003,-0.11805333333333327,-0.0648733333333333
404,-0.40114666666666665,-0.9932066666666665,-0.9727333333333328,-0.016840000000000067,-0.36179333333333324,-0.1767133333333333,-0.25672666666666655,-0.1332066666666667,-0.08758666666666666,-0.26687333333333313
420,-0.5169533333333332,-0.20505333333333334,-0.09250000000000012,-0.16455333333333325,-0.15195333333333338,0.0011466666666666884,-0.10820666666666658,-0.03265333333333335,-0.14865999999999993,-0.1217733333333333
421,-0.23571333333333325,-0.2604999999999998,-0.06799333333333311,-0.06010666666666667,0.035899999999999925,-0.004246666666666794,-0.10854000000000004,-0.14294666666666672,-0.03781333333333325,0.008513333333333335
426,-0.31603333333333317,-0.42589999999999945,0.10153333333333339,-0.10001999999999997,0.003260000000000153,-0.05371333333333337,-0.06361999999999988,-0.08054666666666664,-0.08224666666666666,-0.07543333333333313
428,-0.5367133333333334,-0.6735066666666673,-0.28025999999999984,0.01376666666666661,-0.18386666666666676,-0.06683333333333327,-0.27455999999999986,-0.14116666666666663,-0.18054666666666666,-0.12788000000000005
441,-0.1110599999999998,-0.5907933333333333,-0.2530933333333338,-0.06521999999999996,-0.1612400000000002,-0.04298666666666666,-0.21493999999999994,-0.15897333333333324,-0.22093333333333343,-0.07508000000000001
442,-0.37553333333333355,-0.5082666666666665,-0.08399333333333335,-0.03154666666666664,-0.047686666666666634,-0.03495333333333319,-0.14313333333333328,-0.0573533333333333,-0.08656000000000005,-0.08398666666666668
446,-0.4097933333333332,-0.3437600000000001,-0.06862666666666684,-0.07407333333333338,-0.13964666666666667,-0.03713333333333341,-0.0833399999999999,-0.07530666666666663,-0.07051333333333332,-0.10249999999999984
447,-0.24452666666666653,-0.5319466666666667,-0.15041333333333337,-0.007586666666666589,-0.11942000000000003,-0.029213333333333345,-0.10201333333333329,-0.02202666666666668,-0.09124666666666657,-0.09279999999999992
448,-0.1174066666666666,-0.720766666666666,-0.25138666666666626,-0.08429333333333333,-0.055553333333333225,-0.09771999999999986,-0.16970666666666664,-0.02133333333333334,-0.07533999999999992,-0.15560666666666653
449,-0.26549333333333325,-0.7759533333333329,-0.26905999999999985,-0.21780000000000002,-0.26279333333333327,-0.04959999999999999,-0.17107333333333322,-0.15767333333333336,-0.14334,-0.1915399999999999
451,-0.13499999999999987,-0.5897933333333332,-0.15084000000000009,-0.24466666666666653,-0.13689333333333317,-0.15144000000000005,-0.15320666666666655,-0.061653333333333366,-0.02675999999999993,-0.20538666666666652
454,-0.4908200000000004,-0.7462333333333337,-0.21914666666666752,-0.12269333333333333,-0.11855999999999997,-0.10977333333333329,-0.20241999999999985,-0.028186666666666693,-0.032040000000000006,-0.16609999999999997
459,-0.1306933333333332,-0.2563933333333329,-0.0653199999999999,-0.05300000000000007,-0.09897999999999992,-0.022593333333333288,-0.06621333333333322,-0.04318666666666663,-0.10940666666666655,-0.06947333333333316
468,-0.14573333333333294,-0.5133399999999996,0.17860000000000026,-0.045273333333333304,-0.20006666666666675,-0.04350666666666666,-0.10448666666666666,-0.03062666666666659,-0.09956666666666665,-0.057139999999999795
471,-0.11962666666666655,0.12599333333333376,0.012266666666666808,-0.07036666666666656,0.07980000000000004,-0.06313333333333318,0.09282000000000004,-0.012359999999999982,-0.06035999999999993,0.03696000000000009
473,0.4920800000000009,-0.10199999999999965,0.1804600000000008,0.18572000000000013,-0.0173066666666665,0.14756000000000027,-0.009999999999999988,0.22866000000000009,0.06613333333333347,-0.04590666666666659
474,-0.5045133333333334,-0.4773866666666665,0.06156666666666667,-0.13162666666666667,-0.09893333333333315,-0.11976666666666662,-0.11643333333333324,-0.02163333333333337,-0.09779999999999993,-0.08287999999999991
475,-0.18811999999999984,-0.4366399999999996,0.27869333333333385,-0.04394666666666666,-0.06405333333333331,-0.08456666666666658,-0.26846666666666663,-0.06352,-0.18267999999999987,-0.13935333333333322
477,-0.4284666666666667,-0.6350399999999999,-0.07645333333333354,-0.21993333333333334,-0.1885266666666668,-0.15517333333333327,-0.2038866666666666,-0.2022599999999999,-0.09781333333333334,-0.2330266666666665
478,-0.2481666666666664,-0.34641999999999973,-0.06430000000000012,-0.04227333333333335,-0.11950666666666664,-0.0911666666666666,-0.14565999999999993,-0.1006333333333333,0.008839999999999997,-0.14305999999999983
487,-0.39244666666666655,0.029013333333333346,0.01536666666666696,-0.07600000000000003,0.06415333333333342,-0.012720000000000056,0.026393333333333307,0.0036599999999999138,0.05377333333333327,0.05279333333333335
488,-0.4327066666666668,-0.40267333333333294,-0.1433400000000001,-0.11218666666666668,-0.08707333333333328,-0.06022666666666654,-0.08841999999999992,-0.037706666666666715,-0.07627333333333326,-0.10589333333333323
492,-0.24939333333333408,0.14503333333333301,0.0034600000000001786,-0.15077333333333345,0.008273333333333308,-0.05731333333333344,0.10723333333333325,-0.056193333333333456,0.002173333333333319,0.06225999999999999
503,0.6671866666666665,0.18889333333333308,0.1607333333333327,0.18275333333333332,0.1287933333333332,0.18246000000000004,0.03924666666666648,0.22332666666666667,0.07091333333333344,0.04523333333333332
505,-0.36128000000000043,0.06946000000000006,0.003073333333333075,-0.08362666666666664,0.15184000000000006,-0.07422666666666666,0.07808666666666676,-0.054673333333333324,-0.08285333333333338,0.021553333333333362
