"CRIM, RM, TAX",0.0
"CRIM, TAX, ZN",0.0
"DIS, NOX, RAD",0.0
"DIS, NOX, TAX",0.0
"DIS, RAD, TAX",0.0
"INDUS, RM, ZN",0.0
"LSTAT, RM, ZN",0.0
"NOX, RAD, TAX",0.0
"AGE, CHAS, DIS",0.0
"AGE, CHAS, NOX",0.0
"AGE, CHAS, RAD",0.0
"AGE, CHAS, TAX",0.0
"AGE, CRIM, DIS",0.0
"AGE, CRIM, NOX",0.0
"AGE, CRIM, RAD",0.0
"AGE, CRIM, TAX",0.0
"AGE, INDUS, RM",0.0
"AGE, INDUS, ZN",0.0
"AGE, LSTAT, RM",0.0
"AGE, LSTAT, ZN",0.0
"B, CHAS, INDUS",0.0
"B, CHAS, LSTAT",0.0
"B, CRIM, INDUS",0.0
"B, CRIM, LSTAT",0.0
"B, PTRATIO, RM",0.0
"B, PTRATIO, ZN",0.0
"CHAS, CRIM, RM",0.0
"CHAS, CRIM, ZN",0.0
"CHAS, DIS, NOX",0.0
"CHAS, DIS, RAD",0.0
"CHAS, DIS, TAX",0.0
"CHAS, NOX, RAD",0.0
"CHAS, NOX, TAX",0.0
"CHAS, RAD, TAX",0.0
"CRIM, DIS, NOX",0.0
"CRIM, DIS, RAD",0.0
"CRIM, DIS, TAX",0.0
"CRIM, NOX, RAD",0.0
"CRIM, NOX, TAX",0.0
"CRIM, RAD, TAX",0.0
"DIS, INDUS, RM",0.0
"DIS, INDUS, ZN",0.0
"DIS, LSTAT, RM",0.0
"DIS, LSTAT, ZN",0.0
"INDUS, NOX, RM",0.0
"INDUS, NOX, ZN",0.0
"INDUS, PTRATIO",0.0
"INDUS, RAD, RM",0.0
"INDUS, RAD, ZN",0.0
"INDUS, RM, TAX",0.0
"INDUS, TAX, ZN",0.0
"LSTAT, NOX, RM",0.0
"LSTAT, NOX, ZN",0.0
"LSTAT, PTRATIO",0.0
"LSTAT, RAD, RM",0.0
"LSTAT, RAD, ZN",0.0
"LSTAT, RM, TAX",0.0
"LSTAT, TAX, ZN",0.0
"AGE, B, PTRATIO",0.0
"AGE, CHAS, CRIM",0.0
"AGE, DIS, INDUS",0.0
"AGE, DIS, LSTAT",0.0
"AGE, INDUS, NOX",0.0
"AGE, INDUS, RAD",0.0
"AGE, INDUS, TAX",0.0
"AGE, LSTAT, NOX",0.0
"AGE, LSTAT, RAD",0.0
"AGE, LSTAT, TAX",0.0
"B, DIS, PTRATIO",0.0
"B, INDUS, LSTAT",0.0
"B, NOX, PTRATIO",0.0
"B, PTRATIO, RAD",0.0
"B, PTRATIO, TAX",0.0
"CHAS, CRIM, DIS",0.0
"CHAS, CRIM, NOX",0.0
"CHAS, CRIM, RAD",0.0
"CHAS, CRIM, TAX",0.0
"CHAS, INDUS, RM",0.0
"CHAS, INDUS, ZN",0.0
"CHAS, LSTAT, RM",0.0
"CHAS, LSTAT, ZN",0.0
"CRIM, INDUS, RM",0.0
"CRIM, INDUS, ZN",0.0
"CRIM, LSTAT, RM",0.0
"CRIM, LSTAT, ZN",0.0
"DIS, INDUS, NOX",0.0
"DIS, INDUS, RAD",0.0
"DIS, INDUS, TAX",0.0
"DIS, LSTAT, NOX",0.0
"DIS, LSTAT, RAD",0.0
"DIS, LSTAT, TAX",0.0
"INDUS, NOX, RAD",0.0
"INDUS, NOX, TAX",0.0
"INDUS, RAD, TAX",0.0
"LSTAT, NOX, RAD",0.0
"LSTAT, NOX, TAX",0.0
"LSTAT, RAD, TAX",0.0
"PTRATIO, RM, ZN",0.0
"AGE, CHAS, INDUS",0.0
"AGE, CHAS, LSTAT",0.0
"AGE, CRIM, INDUS",0.0
"AGE, CRIM, LSTAT",0.0
"AGE, PTRATIO, RM",0.0
"AGE, PTRATIO, ZN",0.0
"B, CHAS, PTRATIO",0.0
"B, CRIM, PTRATIO",0.0
"CHAS, DIS, INDUS",0.0
"CHAS, DIS, LSTAT",0.0
"CHAS, INDUS, NOX",0.0
"CHAS, INDUS, RAD",0.0
"CHAS, INDUS, TAX",0.0
"CHAS, LSTAT, NOX",0.0
"CHAS, LSTAT, RAD",0.0
"CHAS, LSTAT, TAX",0.0
"CRIM, DIS, INDUS",0.0
"CRIM, DIS, LSTAT",0.0
"CRIM, INDUS, NOX",0.0
"CRIM, INDUS, RAD",0.0
"CRIM, INDUS, TAX",0.0
"CRIM, LSTAT, NOX",0.0
"CRIM, LSTAT, RAD",0.0
"CRIM, LSTAT, TAX",0.0
"DIS, PTRATIO, RM",0.0
"DIS, PTRATIO, ZN",0.0
"INDUS, LSTAT, RM",0.0
"INDUS, LSTAT, ZN",0.0
"NOX, PTRATIO, RM",0.0
"NOX, PTRATIO, ZN",0.0
"PTRATIO, RAD, RM",0.0
"PTRATIO, RAD, ZN",0.0
"PTRATIO, RM, TAX",0.0
"PTRATIO, TAX, ZN",0.0
"AGE, DIS, PTRATIO",0.0
"AGE, INDUS, LSTAT",0.0
"AGE, NOX, PTRATIO",0.0
"AGE, PTRATIO, RAD",0.0
"AGE, PTRATIO, TAX",0.0
"B, INDUS, PTRATIO",0.0
"B, LSTAT, PTRATIO",0.0
"CHAS, CRIM, INDUS",0.0
"CHAS, CRIM, LSTAT",0.0
"CHAS, PTRATIO, RM",0.0
"CHAS, PTRATIO, ZN",0.0
"CRIM, PTRATIO, RM",0.0
"CRIM, PTRATIO, ZN",0.0
"DIS, INDUS, LSTAT",0.0
"DIS, NOX, PTRATIO",0.0
"DIS, PTRATIO, RAD",0.0
"DIS, PTRATIO, TAX",0.0
"INDUS, LSTAT, NOX",0.0
"INDUS, LSTAT, RAD",0.0
"INDUS, LSTAT, TAX",0.0
"NOX, PTRATIO, RAD",0.0
"NOX, PTRATIO, TAX",0.0
"PTRATIO, RAD, TAX",0.0
"AGE, CHAS, PTRATIO",0.0
"AGE, CRIM, PTRATIO",0.0
"CHAS, DIS, PTRATIO",0.0
"CHAS, INDUS, LSTAT",0.0
"CHAS, NOX, PTRATIO",0.0
"CHAS, PTRATIO, RAD",0.0
"CHAS, PTRATIO, TAX",0.0
"CRIM, DIS, PTRATIO",0.0
"CRIM, INDUS, LSTAT",0.0
"CRIM, NOX, PTRATIO",0.0
"CRIM, PTRATIO, RAD",0.0
"CRIM, PTRATIO, TAX",0.0
"INDUS, PTRATIO, RM",0.0
"INDUS, PTRATIO, ZN",0.0
"LSTAT, PTRATIO, RM",0.0
"LSTAT, PTRATIO, ZN",0.0
"AGE, INDUS, PTRATIO",0.0
"AGE, LSTAT, PTRATIO",0.0
"CHAS, CRIM, PTRATIO",0.0
"DIS, INDUS, PTRATIO",0.0
"DIS, LSTAT, PTRATIO",0.0
"INDUS, NOX, PTRATIO",0.0
"INDUS, PTRATIO, RAD",0.0
"INDUS, PTRATIO, TAX",0.0
"LSTAT, NOX, PTRATIO",0.0
"LSTAT, PTRATIO, RAD",0.0
"LSTAT, PTRATIO, TAX",0.0
"CHAS, INDUS, PTRATIO",0.0
"CHAS, LSTAT, PTRATIO",0.0
"CRIM, INDUS, PTRATIO",0.0
"CRIM, LSTAT, PTRATIO",0.0
"INDUS, LSTAT, PTRATIO",0.0
,0.0
